benchmark,run,result
collatz,baseline,278
collatz,licm,209
eight-queens,baseline,1962862
eight-queens,licm,1176220
sqrt,baseline,696
sqrt,licm,442
euclid,baseline,945
euclid,licm,655
digital-root,baseline,427
digital-root,licm,388
mat-mul,baseline,3664525
mat-mul,licm,3389550
sum-sq-diff,baseline,5875
sum-sq-diff,licm,3257
check-primes,baseline,1888
check-primes,licm,1060
fizz-buzz,baseline,10713
fizz-buzz,licm,7382
fib,baseline,214
fib,licm,159
ackermann,baseline,1808700
ackermann,licm,1636466
perfect,baseline,483
perfect,licm,353
quadratic,baseline,1499
quadratic,licm,719
binary-fmt,baseline,190
binary-fmt,licm,145
recfact,baseline,200
recfact,licm,149
sieve,baseline,6082
sieve,licm,4475
sum-bits,baseline,123
sum-bits,licm,102
orders,baseline,10099
orders,licm,7878
pythagorean_triple,baseline,116030
pythagorean_triple,licm,70019
loopfact,baseline,228
loopfact,licm,133
gcd,baseline,90
gcd,licm,74
